replaceKuSymbolsIPA2,,,,,,,,
"c(""wImfs"""," ""r1pTs"""," ""gw9S"""," ""skw9st"""," ""privd"""," ""fl6Jt"""," ""skri"""," ""_Il_"""," ""f^fT"")"
"c(""skr9t"""," ""krQSt"""," ""kwufTs"""," ""skr^kt"""," ""wubd"""," ""yEsps"""," ""skri"""," ""hInJ"""," ""h^kt"")"
"c(""kw{lst"""," ""sw2zd"""," ""skwIpt"""," ""bl#pT"""," ""TriJt"""," ""S9S"""," ""takt"""," ""mIGT"""," ""brEl"")"
"c(""sp3fT"""," ""skr5b"""," ""fl9pT"""," ""blQfT"""," ""skr3md"""," ""Tw1z"""," ""palJ"""," ""pIlf"""," ""rEmT"")"
"c(""grub"""," ""g4n"""," ""skwQld"""," ""rInd"""," ""dwilts"""," ""SrinT"""," ""n^vz"""," ""vIlT"""," ""hEkt"")"
"c(""skElf"""," ""sl^n_d"""," ""T3fT"""," ""Subz"""," ""fr9ld"""," ""fl9dz"""," ""S^zd"""," ""mIgz"""," ""fEkt"")"
"c(""T3mT"""," ""sk3ks"""," ""SrQf"""," ""gl3t"""," ""fl3dz"""," ""T3nz"""," ""Sriz"""," ""swIk"""," ""kEts"")"
"c(""T1n_"""," ""sl6nd"""," ""blQlnz"""," ""prikt"""," ""tr9bz"""," ""sk1nTs"""," ""skwi"""," ""plId"""," ""zEld"")"
"c(""fl#md"""," ""flQft"""," ""skwQgz"""," ""skw1b"""," ""fl1ft"""," ""gw{kst"""," ""Twas"""," ""sImT"""," ""_einz"")"
"c(""sk{ft"""," ""grIk"""," ""gr4t"""," ""skIkt"""," ""pl9gz"""," ""z1nd"""," ""galk"""," ""plIz"""," ""Sreiz"")"
